cnt_presa,PK_IdPresaSIH,clave,NombrePresa,nombrecomun,Estado,Abr_Edo,Municipio,regioncna,Longitud,Latitud,uso,corriente,tipovertedor,inicioop,alturacortina,elevcorona,bordolibre,nameelev,namealmac,namoelev,CapacidadNAMO,llenano,elevacionactual,namoalmac,datee,fecha,fechaWF,anio,mes,dia,dailyvalue,diferencia,imagen
1,96,CHLMC,"Constitución de Apatzingán, Mich.","Chilatán, Mich.",Michoacán,Mich.     ,Jilotlán de los Dolores,Balsas,-102.774167,19.287778,RI,R. Grande,Libre,1990,CONAGUA,440,2.320,437.680,807.150,429.450,590.025,0.467637792607198,411.780,590.025,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,275.918,314.107,CHLMC.jpg
1,174,CHTSO,"Cuauhtémoc, Son.","Santa Teresa, Son.",Sonora,Son.      ,Tubutama,Noroeste,-111.516389,30.873333,RI,R. Altar,Libre,1950,CONAGUA,603,2.750,600.250,66.330,597.000,41.470,0.0637569308457129,586.600,41.470,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,2.644,38.826,CHTSO.jpg
1,13,CHUCH,"Chihuahua, Chih.","Chihuahua, Chih.",Chihuahua,Chih.     ,Chihuahua,Río Bravo,-106.167778,28.570556,AP,R. Chuviscar,Libre,1960,CONAGUA,1546,1.720,1544.280,35.631,1540.820,23.383,0.650814710574541,1537.710,23.383,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,15.218,8.165,CHUCH.jpg
1,189,CHYVC,"Paso de Piedras, Ver.","Chicayán, Ver.",Veracruz,Ver.      ,Pánuco,Golfo Norte,-98.155833,21.7375,RI,R. Chicayán,Contr,1979,CONAGUA,32.25,3.970,28.280,572.320,22.180,180.000,0.506672222222222,19.660,180.000,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,91.201,88.799,CHYVC.jpg
1,21,CILAAMSMX,"Internacional La Amistad, Coah.","La Amistad, Coah.",Coahuila,Coah.     ,Acuña,Río Bravo,-101.057222,29.446944,AP/RI,R. Bravo,Contr,1968,CILA,351.22,.000,349.030,2707.437,340.460,1769.660,0.131639410960297,331.280,1769.660,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,232.957,1536.703,CILAAMSMX.jpg
1,181,CILAFLCMX,"Internacional Falcón, Tamps.","Falcón, Tamps.",Tamaulipas,Tamps.    ,Guerrero,Río Bravo,-99.170556,26.560278,AP/RI,R. Bravo,Contr,1953,CILA,98.45,.000,93.482,1607.962,91.810,1351.630,0.196203102920178,82.355,1351.630,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,265.194,1086.436,CILAFLCMX.jpg
1,205,CJNNR,"Leonardo Rodríguez Alcaine, Nay.","Leonardo Rodríguez Alcáine, Nay.",Nayarit,Nay.      ,La Yesca,Lerma Santiago Pacífico,-104.450833,21.428333,GH,R. Santiago,Contr,2006,CFE,394.5,.500,394.000,2393.107,391.000,2282.130,0.582451481729788,361.520,2282.130,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,1329.230,952.900,CJNNR.jpg
1,211,CLNCH,"Ing. Andrew Weiss, Chih.","Colina, Chih.",Chihuahua,Chih.     ,San Francisco de Conchos,Río Bravo,-105.382222,27.576389,RI,R. Conchos,Libre,1926,CONAGUA,1251,1.150,1249.850,26.970,1249.100,23.670,1.0323616358782,1249.280,23.670,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,24.436,-.766,CLNCH.jpg
1,117,CNPMX,"La Concepción, Méx.","La Concepción, Méx.",Estado de México,Méx.      ,Tepotzotlán,Aguas del Valle de México,-99.304444,19.695,RI,R. Tepotzotlán,Libre,1949,CONAGUA,2355.64,3.100,2352.540,12.599,2352.100,12.111,0.417636859053753,2343.380,12.111,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,5.058,7.053,CNPMX.jpg
1,146,CNSQT,"Constitución de 1917, Qro.","Hidalgo, Qro.",Querétaro,Qro.      ,San Juan del Río,Golfo Norte,-100.080278,20.418611,RI,Dren Caracol,Contr,1969,CONAGUA,1937,1.550,1928.390,76.461,1927.060,66.080,0.211985472154964,1917.770,66.080,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,14.008,52.072,CNSQT.jpg
